#name, distance (kpc), stellar_mass
Carina,107,3.8E+05,
Draco I,76,2.9E+05,
Fornax,149,2.0E+07,
Leo I,257,5.5E+06,
Leo II,236,7.4E+05,
LMC,51,1.5E+09,
Ursa Minor,76,2.9E+05,
SMC,64,4.60E+08,
Sculptor,86,2.3E+06,
Sextans,89,4.4E+05,
Sagittarius I ,18,2.1E+07,
Bootes I,64,2.9E+04,
Bootes II,39,1.0E+03,
Canes Venatici I,218,2.3E+05,
Canes Venatici II,161,7.9E+03,
Coma,45,3.7E+03,
Hercules,126,3.7E+04,
Leo IV,155,1.9E+04,
Leo V,179,1.1E+04,
Leo T,417,1.4E+05,
Pegasus III,203,7.46E+03,(4)
Pisces I,80,1.0E+04,(4)
Pisces II,181,8.6E+03,
Segue I,28,3.4E+02,
Segue II,41,8.6E+02,
Ursa Major I,102,1.4E+04,
Ursa Major II,38,4.1E+03,
Willman I,43,1.0E+03,
Cetus II,32,1E+02,(1)
Columba I,182,6.2E+03,(1)
Eridanus II,366,8.3E+04,(3)
Eridanus III,95,9.0E+02,(3)
Grus I,120,1.96E+03,(4)
Grus II,53,3.4E+03,(1)
Horologium I,87,1.96E+03,
Horologium II,78,2.47E+03,(4)
Indus I ,69,8.0E+02,(3)
Indus II,214,4.9E+03,(1)
Phoenix II,95,2.8E+03,(3)
Pictoris,126,2.8E+03,(3)
Reticulum II,32,2.6E+03,(3)
Reticulum III,92,2E+03,(1)
Tucana II,58,4.9E+03,(4)
Tucana III,23,8.0E+02,(1)
Tucana IV,45,2.2E+03,(1)
Tucana V,55,5E+02,(1)
